rota_id,rota_nome,regiao_dificil,viagens,distancia_km,pct_on_time,lead_time_medio_h,pct_ocorrencia
4,São Paulo → Goiânia,False,976,900,0.8309,16.29,0.0697
8,Curitiba → Goiânia,False,911,1250,0.8375,22.54,0.0812
9,Salvador → Goiânia,True,732,1500,0.8402,32.52,0.1216
12,Salvador → Manaus,True,690,3300,0.8435,71.58,0.0928
11,Rio de Janeiro → Manaus,True,765,3900,0.8523,84.47,0.102
10,Goiânia → Manaus,True,675,1950,0.8563,42.27,0.1126
7,Rio de Janeiro → Curitiba,False,691,850,0.8611,15.29,0.0796
2,São Paulo → Curitiba,False,698,410,0.8625,7.42,0.0702
6,Rio de Janeiro → Salvador,True,814,1650,0.8698,35.86,0.0983
5,São Paulo → Manaus,True,820,3500,0.8744,75.8,0.1085
3,São Paulo → Salvador,True,852,1960,0.8756,42.27,0.1056
1,São Paulo → Rio de Janeiro,False,715,430,0.8839,7.67,0.0769
