ocorrencia_id,viagem_id,tipo,gravidade,custo_ocorrencia,tempo_parado_horas
1,2,Atraso por Manutenção,Baixa,932.82,2.3
2,21,Avaria,Baixa,1135.67,6.0
3,22,Atraso por Manutenção,Baixa,429.2,1.9
4,34,Atraso por Manutenção,Baixa,1445.86,4.6
5,35,Avaria,Média,1833.72,9.5
6,45,Sinistro,Baixa,842.89,5.1
7,59,Atraso por Manutenção,Média,2462.24,8.1
8,68,Atraso por Manutenção,Média,2734.15,11.6
9,75,Sinistro,Baixa,1245.99,5.3
10,88,Sinistro,Baixa,792.48,1.8
11,95,Sinistro,Média,4058.66,19.3
12,108,Avaria,Média,2411.17,6.6
13,115,Avaria,Média,5039.48,6.6
14,124,Atraso por Manutenção,Baixa,854.8,1.9
15,132,Avaria,Baixa,445.21,3.1
16,144,Sinistro,Média,3736.64,9.3
17,165,Avaria,Baixa,1125.46,5.5
18,166,Atraso por Manutenção,Alta,22396.91,31.1
19,171,Avaria,Alta,6950.92,53.5
20,181,Atraso por Manutenção,Média,2946.44,17.9
21,208,Avaria,Baixa,729.29,6.0
22,210,Atraso por Manutenção,Baixa,1214.73,3.3
23,211,Avaria,Baixa,1447.65,4.5
24,212,Avaria,Baixa,1079.09,1.5
25,213,Avaria,Média,4177.1,17.4
26,219,Avaria,Média,3475.0,10.0
27,226,Avaria,Alta,16620.05,78.8
28,239,Sinistro,Baixa,898.75,5.5
29,242,Avaria,Baixa,1490.62,3.1
30,244,Atraso por Manutenção,Baixa,823.12,3.5
31,253,Avaria,Baixa,1369.92,5.2
32,265,Avaria,Média,1576.45,11.3
33,269,Sinistro,Baixa,363.42,4.6
34,293,Avaria,Média,4982.03,21.3
35,303,Atraso por Manutenção,Média,1812.97,11.6
36,337,Avaria,Alta,20989.35,39.9
37,340,Atraso por Manutenção,Baixa,446.72,2.9
38,355,Atraso por Manutenção,Baixa,1106.43,4.1
39,360,Avaria,Alta,20209.84,88.7
40,381,Avaria,Baixa,1024.41,4.3
41,382,Sinistro,Alta,17290.94,56.0
42,384,Atraso por Manutenção,Alta,7124.33,69.3
43,386,Avaria,Baixa,962.16,5.8
44,404,Avaria,Alta,15051.08,50.6
45,405,Sinistro,Baixa,355.38,4.0
46,409,Avaria,Baixa,591.86,1.4
47,419,Sinistro,Baixa,1084.23,2.2
48,428,Avaria,Média,1866.51,13.3
49,444,Avaria,Baixa,1365.56,1.3
50,447,Avaria,Média,3753.68,22.2
51,464,Atraso por Manutenção,Baixa,704.73,4.2
52,467,Avaria,Baixa,1219.64,4.9
53,486,Avaria,Média,1884.84,21.9
54,499,Sinistro,Alta,21649.33,54.2
55,516,Avaria,Baixa,1349.18,1.5
56,555,Sinistro,Baixa,1437.98,3.5
57,556,Sinistro,Baixa,626.05,3.0
58,624,Atraso por Manutenção,Baixa,456.11,3.6
59,626,Avaria,Média,1729.01,16.4
60,628,Avaria,Baixa,664.63,4.5
61,659,Atraso por Manutenção,Média,3753.38,7.0
62,666,Atraso por Manutenção,Média,3222.65,22.5
63,668,Atraso por Manutenção,Baixa,1300.31,5.5
64,670,Avaria,Baixa,1096.15,1.9
65,671,Atraso por Manutenção,Baixa,1091.89,2.0
66,700,Atraso por Manutenção,Baixa,1481.98,4.9
67,703,Avaria,Baixa,1360.09,2.6
68,708,Avaria,Baixa,912.11,3.2
69,710,Atraso por Manutenção,Baixa,1351.76,4.5
70,711,Atraso por Manutenção,Baixa,749.55,2.6
71,716,Avaria,Baixa,576.78,4.0
72,717,Atraso por Manutenção,Alta,10732.57,24.4
73,735,Avaria,Média,5428.29,10.4
74,756,Sinistro,Média,3876.79,12.0
75,758,Sinistro,Baixa,663.81,5.9
76,760,Atraso por Manutenção,Baixa,375.67,2.0
77,818,Atraso por Manutenção,Alta,15190.24,28.7
78,824,Atraso por Manutenção,Baixa,897.57,5.6
79,832,Avaria,Baixa,414.54,5.2
80,841,Avaria,Baixa,636.81,4.5
81,853,Sinistro,Baixa,1301.79,3.4
82,870,Avaria,Baixa,766.73,6.0
83,871,Avaria,Baixa,527.59,3.5
84,877,Atraso por Manutenção,Média,4515.83,10.4
85,897,Avaria,Média,1831.77,12.1
86,898,Avaria,Média,4220.03,6.9
87,921,Avaria,Média,1764.19,14.0
88,924,Avaria,Média,5354.26,20.5
89,925,Sinistro,Alta,14549.68,40.0
90,949,Avaria,Alta,8500.36,78.9
91,951,Avaria,Baixa,274.51,4.4
92,956,Avaria,Média,5505.29,10.2
93,959,Atraso por Manutenção,Baixa,1008.76,1.6
94,972,Avaria,Baixa,412.76,4.7
95,1010,Sinistro,Média,4690.57,16.0
96,1021,Avaria,Alta,18234.17,59.3
97,1034,Sinistro,Baixa,1206.75,4.8
98,1040,Atraso por Manutenção,Média,2844.8,8.3
99,1052,Avaria,Média,3443.75,19.7
100,1065,Sinistro,Média,2301.43,7.5
101,1069,Atraso por Manutenção,Baixa,1099.55,1.4
102,1110,Avaria,Baixa,776.89,5.4
103,1138,Avaria,Média,5476.11,6.9
104,1144,Avaria,Alta,15231.5,39.8
105,1146,Sinistro,Baixa,1165.37,3.6
106,1150,Avaria,Média,3596.29,10.6
107,1161,Avaria,Baixa,1085.95,3.6
108,1163,Avaria,Baixa,1171.7,3.0
109,1169,Sinistro,Baixa,953.66,2.1
110,1170,Avaria,Baixa,617.85,4.1
111,1173,Avaria,Baixa,856.21,3.9
112,1180,Avaria,Baixa,1125.07,3.1
113,1193,Atraso por Manutenção,Média,5713.0,15.1
