veiculo_id,transportadora_id,tipo_veiculo,capacidade_kg,ano_fabricacao
1,1,Carreta,27000,2021
2,1,Carreta,27000,2023
3,1,Truck,8000,2014
4,1,Bitrem,37000,2017
5,1,Truck,8000,2019
6,1,Carreta,27000,2023
7,1,Carreta,27000,2022
8,1,Truck,8000,2017
9,1,Truck,8000,2024
10,1,Carreta,27000,2018
11,1,Carreta,27000,2019
12,1,Carreta,27000,2024
13,1,Carreta,27000,2017
14,1,Truck,8000,2024
15,1,Truck,8000,2023
16,1,Truck,8000,2020
17,1,Truck,8000,2015
18,1,Carreta,27000,2019
19,1,Bitrem,37000,2023
20,1,Carreta,27000,2020
21,1,Carreta,27000,2018
22,1,Truck,8000,2016
23,1,Truck,8000,2024
24,1,Truck,8000,2021
25,1,Carreta,27000,2019
26,1,Bitrem,37000,2014
27,1,Truck,8000,2019
28,1,Bitrem,37000,2016
29,1,Carreta,27000,2024
30,1,Carreta,27000,2023
31,1,Carreta,27000,2019
32,1,Carreta,27000,2015
33,1,Carreta,27000,2020
34,1,Carreta,27000,2023
35,1,Carreta,27000,2015
36,1,Carreta,27000,2014
37,1,Truck,8000,2016
38,1,Bitrem,37000,2015
39,1,Carreta,27000,2020
40,1,Carreta,27000,2024
41,2,Carreta,27000,2018
42,2,Carreta,27000,2021
43,2,Truck,8000,2020
44,2,Truck,8000,2018
45,2,Carreta,27000,2023
46,2,Bitrem,37000,2015
47,2,Truck,8000,2014
48,2,Truck,8000,2021
49,2,Bitrem,37000,2015
50,2,Truck,8000,2021
51,2,Bitrem,37000,2019
52,2,Bitrem,37000,2024
53,2,Carreta,27000,2017
54,2,Truck,8000,2015
55,2,Bitrem,37000,2016
56,2,Truck,8000,2020
57,2,Bitrem,37000,2024
58,2,Carreta,27000,2021
59,2,Carreta,27000,2024
60,2,Truck,8000,2018
61,2,Truck,8000,2024
62,2,Carreta,27000,2023
63,2,Carreta,27000,2019
64,2,Carreta,27000,2017
65,2,Truck,8000,2021
66,2,Truck,8000,2018
67,2,Truck,8000,2018
68,2,Carreta,27000,2024
69,2,Carreta,27000,2014
70,2,Bitrem,37000,2019
71,3,Truck,8000,2014
72,3,Carreta,27000,2020
73,3,Carreta,27000,2023
74,3,Carreta,27000,2019
75,3,Bitrem,37000,2024
76,3,Bitrem,37000,2015
77,3,Truck,8000,2020
78,3,Bitrem,37000,2022
79,3,Truck,8000,2023
80,3,Bitrem,37000,2018
81,3,Truck,8000,2023
82,3,Carreta,27000,2020
83,3,Carreta,27000,2014
84,3,Truck,8000,2021
85,3,Truck,8000,2024
86,3,Truck,8000,2017
87,3,Truck,8000,2017
88,3,Carreta,27000,2024
89,3,Truck,8000,2015
90,3,Bitrem,37000,2016
91,3,Carreta,27000,2016
92,3,Carreta,27000,2024
93,3,Carreta,27000,2023
94,3,Carreta,27000,2023
95,3,Carreta,27000,2023
96,4,Bitrem,37000,2018
97,4,Carreta,27000,2021
98,4,Truck,8000,2024
99,4,Carreta,27000,2015
100,4,Bitrem,37000,2019
101,4,Truck,8000,2022
102,4,Carreta,27000,2022
103,4,Carreta,27000,2015
104,4,Bitrem,37000,2020
105,4,Truck,8000,2020
106,4,Truck,8000,2018
107,4,Truck,8000,2019
108,4,Bitrem,37000,2016
109,4,Bitrem,37000,2020
110,4,Carreta,27000,2015
111,4,Carreta,27000,2015
112,4,Carreta,27000,2020
113,4,Truck,8000,2015
114,4,Carreta,27000,2024
115,4,Carreta,27000,2018
116,4,Truck,8000,2020
117,4,Truck,8000,2021
118,4,Carreta,27000,2018
119,4,Bitrem,37000,2023
120,4,Truck,8000,2022
121,4,Bitrem,37000,2021
122,4,Bitrem,37000,2022
123,4,Carreta,27000,2022
124,4,Truck,8000,2024
125,4,Truck,8000,2018
126,5,Truck,8000,2014
127,5,Truck,8000,2024
128,5,Carreta,27000,2016
129,5,Truck,8000,2017
130,5,Truck,8000,2020
131,5,Carreta,27000,2014
132,5,Truck,8000,2014
133,5,Bitrem,37000,2023
134,5,Bitrem,37000,2019
135,5,Carreta,27000,2016
136,5,Truck,8000,2020
137,5,Carreta,27000,2018
138,5,Bitrem,37000,2014
139,5,Bitrem,37000,2023
140,5,Truck,8000,2023
141,5,Truck,8000,2023
142,5,Truck,8000,2017
143,5,Carreta,27000,2015
144,5,Truck,8000,2022
145,5,Bitrem,37000,2018
146,5,Truck,8000,2022
147,5,Carreta,27000,2022
148,5,Truck,8000,2023
149,5,Carreta,27000,2018
150,5,Carreta,27000,2021
