viagem_id,rota_id,veiculo_id,transportadora_id,data_saida,data_chegada_prevista,data_chegada_real,distancia_km,lead_time_horas,tempo_estimado_horas,on_time,custo_frete,custo_por_km,carga_kg,teve_ocorrencia
1,7,24,1,2025-01-01 19:00:00,2025-01-02 09:42:00,2025-01-02 10:00:48.047075033,850,15.0,14.7,True,3686.1,4.34,6742,False
2,8,7,1,2025-01-01 03:00:00,2025-01-02 00:36:00,2025-01-01 23:59:27.283705053,1250,21.0,21.6,True,5332.07,4.27,15366,True
3,2,9,1,2025-01-01 15:00:00,2025-01-01 22:06:00,2025-01-01 22:14:32.511168674,410,7.2,7.1,True,1733.17,4.23,4768,False
4,4,33,1,2025-01-01 05:00:00,2025-01-01 20:30:00,2025-01-01 18:50:28.008328530,900,13.8,15.5,True,3570.72,3.97,17496,False
5,4,33,1,2025-01-01 18:00:00,2025-01-02 09:30:00,2025-01-02 09:23:40.173808962,900,15.4,15.5,True,4183.27,4.65,18151,False
6,3,23,1,2025-01-01 03:00:00,2025-01-02 19:48:00,2025-01-02 23:35:15.868275547,1960,44.6,40.8,True,8335.81,4.25,7616,False
7,2,16,1,2025-01-01 06:00:00,2025-01-01 13:06:00,2025-01-01 13:37:14.170100153,410,7.6,7.1,True,1798.12,4.39,6927,False
8,9,32,1,2025-01-01 10:00:00,2025-01-02 17:12:00,2025-01-02 16:41:56.722091992,1500,30.7,31.2,True,6851.3,4.57,13764,False
9,4,34,1,2025-01-01 17:00:00,2025-01-02 08:30:00,2025-01-02 07:39:20.086696443,900,14.7,15.5,True,4300.72,4.78,22445,False
10,9,15,1,2025-01-01 01:00:00,2025-01-02 08:12:00,2025-01-02 09:41:19.973768721,1500,32.7,31.2,True,4982.77,3.32,6897,False
11,2,50,2,2025-01-01 17:00:00,2025-01-02 00:06:00,2025-01-02 00:16:32.602235765,410,7.3,7.1,True,1374.12,3.35,4844,False
12,2,63,2,2025-01-01 15:00:00,2025-01-01 22:06:00,2025-01-02 00:25:14.719488629,410,9.4,7.1,False,1332.08,3.25,19584,False
13,12,59,2,2025-01-01 18:00:00,2025-01-04 14:48:00,2025-01-05 06:45:43.701280338,3300,84.8,68.8,False,12042.96,3.65,14688,False
14,7,48,2,2025-01-01 18:00:00,2025-01-02 08:42:00,2025-01-02 09:06:23.920288833,850,15.1,14.7,True,2842.93,3.34,6364,False
15,5,60,2,2025-01-01 00:00:00,2025-01-04 00:54:00,2025-01-04 05:17:13.297732101,3500,77.3,72.9,True,11348.42,3.24,5906,False
16,6,56,2,2025-01-01 17:00:00,2025-01-03 03:24:00,2025-01-03 06:11:54.197471720,1650,37.2,34.4,True,5454.63,3.31,4080,False
17,9,68,2,2025-01-01 03:00:00,2025-01-02 10:12:00,2025-01-02 10:19:35.316361115,1500,31.3,31.2,True,5007.29,3.34,24212,False
18,12,58,2,2025-01-01 19:00:00,2025-01-04 15:48:00,2025-01-04 17:53:42.618079128,3300,70.9,68.8,True,10453.09,3.17,25815,False
19,2,55,2,2025-01-01 02:00:00,2025-01-01 09:06:00,2025-01-01 07:57:31.152899776,410,6.0,7.1,True,1564.01,3.81,20483,False
20,6,58,2,2025-01-01 04:00:00,2025-01-02 14:24:00,2025-01-02 17:54:51.571122989,1650,37.9,34.4,True,5609.09,3.4,25041,False
21,3,64,2,2025-01-01 11:00:00,2025-01-03 03:48:00,2025-01-03 04:53:12.469702742,1960,41.9,40.8,True,6555.84,3.34,16993,True
22,3,50,2,2025-01-01 02:00:00,2025-01-02 18:48:00,2025-01-02 20:18:27.161427170,1960,42.3,40.8,True,6347.86,3.24,6059,True
23,4,86,3,2025-01-01 12:00:00,2025-01-02 03:30:00,2025-01-02 03:34:36.294222260,900,15.6,15.5,True,4575.25,5.08,5923,False
24,10,90,3,2025-01-01 03:00:00,2025-01-02 19:36:00,2025-01-02 23:30:02.582527244,1950,44.5,40.6,True,10415.97,5.34,23178,False
25,12,74,3,2025-01-01 23:00:00,2025-01-04 19:48:00,2025-01-04 15:22:43.961020886,3300,64.4,68.8,True,14932.88,4.53,22655,False
26,7,74,3,2025-01-01 00:00:00,2025-01-01 14:42:00,2025-01-01 13:54:05.360915021,850,13.9,14.7,True,4206.22,4.95,24195,False
27,8,80,3,2025-01-01 11:00:00,2025-01-02 08:36:00,2025-01-02 09:10:29.277619220,1250,22.2,21.6,True,5977.55,4.78,35404,False
28,10,81,3,2025-01-01 16:00:00,2025-01-03 08:36:00,2025-01-03 07:20:48.946305025,1950,39.3,40.6,True,10037.57,5.15,7335,False
29,9,83,3,2025-01-01 04:00:00,2025-01-02 11:12:00,2025-01-02 13:10:02.849008959,1500,33.2,31.2,True,7359.88,4.91,17926,False
30,2,90,3,2025-01-01 07:00:00,2025-01-01 14:06:00,2025-01-01 14:07:23.220354144,410,7.1,7.1,True,1873.58,4.57,36469,False
31,2,71,3,2025-01-01 23:00:00,2025-01-02 06:06:00,2025-01-02 06:17:19.636406182,410,7.3,7.1,True,2258.57,5.51,4681,False
32,4,103,4,2025-01-01 15:00:00,2025-01-02 06:30:00,2025-01-02 06:34:25.109480114,900,15.6,15.5,True,3798.99,4.22,24311,False
33,6,115,4,2025-01-01 20:00:00,2025-01-03 06:24:00,2025-01-03 11:26:41.944335798,1650,39.4,34.4,True,6673.78,4.04,16681,False
34,9,104,4,2025-01-01 18:00:00,2025-01-03 01:12:00,2025-01-03 07:47:22.114125368,1500,37.8,31.2,False,5670.43,3.78,28347,True
35,3,101,4,2025-01-01 22:00:00,2025-01-03 14:48:00,2025-01-03 22:05:22.653815999,1960,48.1,40.8,False,7850.23,4.01,4146,True
36,4,102,4,2025-01-01 16:00:00,2025-01-02 07:30:00,2025-01-02 05:25:49.327062534,900,13.4,15.5,True,3510.99,3.9,26099,False
37,10,120,4,2025-01-01 19:00:00,2025-01-03 11:36:00,2025-01-03 11:06:19.718189101,1950,40.1,40.6,True,8516.57,4.37,4152,False
38,9,98,4,2025-01-01 09:00:00,2025-01-02 16:12:00,2025-01-02 14:56:12.992447871,1500,29.9,31.2,True,6125.03,4.08,5163,False
39,6,104,4,2025-01-01 12:00:00,2025-01-02 22:24:00,2025-01-02 19:38:15.901793216,1650,31.6,34.4,True,6382.45,3.87,34798,False
40,10,107,4,2025-01-01 18:00:00,2025-01-03 10:36:00,2025-01-03 12:26:18.185837574,1950,42.4,40.6,True,6557.41,3.36,4355,False
41,9,103,4,2025-01-01 13:00:00,2025-01-02 20:12:00,2025-01-02 21:32:17.851820911,1500,32.5,31.2,True,6367.46,4.24,17364,False
42,9,100,4,2025-01-01 10:00:00,2025-01-02 17:12:00,2025-01-02 14:31:52.192401943,1500,28.5,31.2,True,6027.57,4.02,25515,False
43,4,107,4,2025-01-01 23:00:00,2025-01-02 14:30:00,2025-01-02 13:52:11.074031033,900,14.9,15.5,True,3631.52,4.04,6273,False
44,6,96,4,2025-01-01 22:00:00,2025-01-03 08:24:00,2025-01-03 02:32:35.755203191,1650,28.5,34.4,True,7393.15,4.48,32810,False
45,5,145,5,2025-01-01 16:00:00,2025-01-04 16:54:00,2025-01-04 21:23:15.442993405,3500,77.4,72.9,True,18557.78,5.3,35794,True
46,10,128,5,2025-01-01 13:00:00,2025-01-03 05:36:00,2025-01-03 15:17:17.919910734,1950,50.3,40.6,False,6946.68,3.56,22410,False
47,5,136,5,2025-01-01 01:00:00,2025-01-04 01:54:00,2025-01-03 19:32:12.672606232,3500,66.5,72.9,True,15732.38,4.49,6041,False
48,11,148,5,2025-01-01 16:00:00,2025-01-05 01:12:00,2025-01-05 14:27:40.646112638,3900,94.5,81.2,False,17363.53,4.45,4574,False
49,9,139,5,2025-01-01 06:00:00,2025-01-02 13:12:00,2025-01-02 14:47:19.420960374,1500,32.8,31.2,True,6853.6,4.57,34972,False
50,8,136,5,2025-01-01 23:00:00,2025-01-02 20:36:00,2025-01-02 21:40:39.844056970,1250,22.7,21.6,True,6343.66,5.07,4305,False
51,5,135,5,2025-01-01 10:00:00,2025-01-04 10:54:00,2025-01-04 14:17:03.083862215,3500,76.3,72.9,True,15317.38,4.38,22154,False
52,10,150,5,2025-01-01 07:00:00,2025-01-02 23:36:00,2025-01-03 05:04:52.490282843,1950,46.1,40.6,True,8895.43,4.56,14112,False
53,11,35,1,2025-01-02 18:00:00,2025-01-06 03:12:00,2025-01-06 04:04:26.368704950,3900,82.1,81.2,True,15660.9,4.02,24336,False
54,4,33,1,2025-01-02 11:00:00,2025-01-03 02:30:00,2025-01-03 02:56:59.722110486,900,15.9,15.5,True,3373.92,3.75,14485,False
55,5,22,1,2025-01-02 03:00:00,2025-01-05 03:54:00,2025-01-05 06:07:21.912876982,3500,75.1,72.9,True,14877.56,4.25,7289,False
56,3,20,1,2025-01-02 04:00:00,2025-01-03 20:48:00,2025-01-03 19:25:45.952971024,1960,39.4,40.8,True,8054.39,4.11,13681,False
57,5,36,1,2025-01-02 06:00:00,2025-01-05 06:54:00,2025-01-05 09:45:10.692943253,3500,75.8,72.9,True,14868.43,4.25,13825,False
58,2,24,1,2025-01-02 10:00:00,2025-01-02 17:06:00,2025-01-02 16:34:06.166822460,410,6.6,7.1,True,1785.43,4.35,7292,False
59,2,33,1,2025-01-02 16:00:00,2025-01-02 23:06:00,2025-01-02 22:59:56.570938049,410,7.0,7.1,True,1686.26,4.11,21417,True
60,1,28,1,2025-01-02 23:00:00,2025-01-03 06:24:00,2025-01-03 05:27:38.020594529,430,6.5,7.4,True,1860.5,4.33,35849,False
61,7,26,1,2025-01-02 22:00:00,2025-01-03 12:42:00,2025-01-03 14:11:23.731508013,850,16.2,14.7,True,3464.09,4.08,22183,False
62,4,18,1,2025-01-02 17:00:00,2025-01-03 08:30:00,2025-01-03 08:47:28.972763809,900,15.8,15.5,True,3706.96,4.12,18839,False
63,5,38,1,2025-01-02 08:00:00,2025-01-05 08:54:00,2025-01-05 12:27:12.334867759,3500,76.5,72.9,True,14829.64,4.24,20192,False
64,2,19,1,2025-01-02 10:00:00,2025-01-02 17:06:00,2025-01-02 17:35:20.434247155,410,7.6,7.1,True,1802.47,4.4,36505,False
65,3,18,1,2025-01-02 20:00:00,2025-01-04 12:48:00,2025-01-04 14:42:23.927951240,1960,42.7,40.8,True,7571.73,3.86,18607,False
66,1,18,1,2025-01-02 03:00:00,2025-01-02 10:24:00,2025-01-02 10:43:18.961946864,430,7.7,7.4,True,1560.72,3.63,14543,False
67,3,42,2,2025-01-02 06:00:00,2025-01-03 22:48:00,2025-01-03 23:21:38.315534543,1960,41.4,40.8,True,7142.37,3.64,23697,False
68,2,48,2,2025-01-02 12:00:00,2025-01-02 19:06:00,2025-01-02 20:29:58.960088548,410,8.5,7.1,False,1086.16,2.65,7658,True
69,5,45,2,2025-01-02 18:00:00,2025-01-05 18:54:00,2025-01-06 23:58:34.402929107,3500,102.0,72.9,False,11748.38,3.36,23187,False
70,8,54,2,2025-01-02 16:00:00,2025-01-03 13:36:00,2025-01-03 15:00:07.196702168,1250,23.0,21.6,True,4749.58,3.8,4671,False
71,1,51,2,2025-01-02 04:00:00,2025-01-02 11:24:00,2025-01-02 12:53:44.822098307,430,8.9,7.4,False,1584.25,3.68,22735,False
72,3,62,2,2025-01-02 10:00:00,2025-01-04 02:48:00,2025-01-04 01:08:27.780985104,1960,39.1,40.8,True,5852.36,2.99,19138,False
